
=== Extracted from C:\Users\Suad\Documents\Projekte\AI_TendersAnalysis\tender_full_files_for_ai\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+A+-+WSTW+IT+Capability+Map+2024.xlsx - Sheet: Tabelle1 ===
Leistungsbereich | Gruppe | Fähigkeit | Beschreibung
100%
WIPARK Garagen GmbH
99,37%
(Zwerganteil bei BMG-IWS)
VERBUND AG
11,71%
WienIT GmbH
100%
e&i EDV Dienstleistungsgesellschaft m.b.H.
50%
WIENER LOKALBAHNEN GmbH
99,936%
(Zwerganteil bei WSTW-VV)
Wiener Lokalbahnen Cargo GmbH
100%
Wiener Lokalbahnen Verkehrsdienste
GmbH
100%
Wiener Wasserstoff GmbH
50%
Wiener Erdgasspeicher GmbH
90%

[Table 2]
WIENER STADTWERKE Finanzierungs-
Services GmbH
100%
WIENER STADTWERKE
Vermögensverwaltung Gamma GmbH
100 %
Wiener Erdgasspeicher GmbH
10%
Beteiligungsmanagement IWS Verwaltungs
GmbH
100%
TownTown Infra GmbH
70%
Smartworks Innovation GmbH & Co KG
50%
Easelink GmbH
0,906%
WSTW-WSE Entwicklungs GmbH
51%
Wohnfonds - Wiener Stadtwerke
Entwicklungs GmbH
25%
TELEREAL Telekommunikationsanlagen
GmbH
25%
WIENER STADTWERKE
Planvermögen GmbH
99,8%
(Zwerganteil bei Dr. Wenger)
EVN AG
28,36%

[Table 3]
BESTATTUNG WIEN GmbH
100%
WSTW TownTown GmbH & Co
Residenz KG
22,62%
WIEN ENERGIE TownTown GmbH & Co
Energy Tower KG
7,29%
FRIEDHÖFE WIEN GmbH
100%
WSTW TownTown GmbH & Co
Residenz KG
37,96%
WIEN ENERGIE TownTown GmbH & Co
Energy Tower KG
9,05%
BFW Gebäudeerrichtungs- und
Vermietungs GmbH
100%
BFW Gebäudeerrichtungs- und
Vermietungs GmbH & Co KG
100%
Tierfriedhof Wien GmbH
85%
Wiener Tierkrematorium GmbH
49%
WSTW TownTown GmbH & Co
Residenz KG
4,41%
WIEN ENERGIE TownTown GmbH & Co
Energy Tower KG
4,41%

[Table 4]
WIENER LINIEN GmbH & Co KG
100%
WIENER LINIEN Verkehrsprojekte GmbH
100%
WIENER LINIEN Direktionsgebäude GmbH
10 %
WIENER LINIEN Direktionsgebäude GmbH
90 %
Upstream - next level mobility GmbH
51%
ARGE WL-WSE GesbR
51%
WIENER NETZE GmbH
99,997%
(Zwerganteil bei WSTW-VV)
Aspern Smart City Research GmbH
20%
Aspern Smart City Research GmbH & Co
KG
20%
AGCS Gas Clearing and Settlement AG
5,49%
EDA Energiewirtschaftlicher
Datenaustausch GmbH
6,67%
EGE-Einkaufsgenossenschaft öster-
reichischer Elektrizitätswerke registrierte
Genossenschaft mit beschränkter Haftung
3,11%

[Table 5]
immOH!
Energie und Gebäudemanagement GmbH
100%
HC immOH!
Infrastruktur Services GmbH
100%

[Table 6]
WIEN ENERGIE TownTown GmbH
100%
WSTW TownTown GmbH & Co
Residenz KG
5,1%
WIEN ENERGIE TownTown GmbH & Co
Energy Tower KG
5,1%
WSTW TownTown GmbH & Co
Residenz KG
29,87%
WIEN ENERGIE TownTown GmbH & Co
Energy Tower KG
74,07%
APCS Power Clearing and Settlement AG
2,52%
Burgenland Holding Aktiengesellschaft
6,59%
CISMO Clearing Integrated Services and
Market Operations GmbH
4%
WIEN ENERGIE International GmbH
100%
ERS d.o.o. male hidroelektrane
100%
EBH d.o.o. male hidroelektrane
100%
EMK d.o.o.e.l. mali hidroelektrani
100%
VIENNA ENERGY RISORSE RINNOVABILI
SRL
100%
KW Sallabach Gesellschaft mbH
85%
KW Sallabach Gesellschaft mbH & Co KG
85%
Projektentwicklung
KW Pusterwaldbach GmbH
100%

[Table 7]
EP Zurndorf GmbH
42,4%
EPZ Energieprojekt Zurndorf GmbH & Co
KG
42,4%
EVN-WIEN ENERGIE Windparkentwick-
lungs- und Betriebs GmbH
50%
EVN-WIEN ENERGIE Windparkentwick-
lungs- und Betriebs GmbH & Co KG
50%
WIEN ENERGIE Bundesforste Biomasse
Kraftwerk GmbH
66,67%
WIEN ENERGIE Bundesforste Biomasse
Kraftwerk GmbH & Co KG
66,67%
VERBUND AG
1,73%
VERBUND Innkraftwerke GmbH
13%
Kraftwerk Nußdorf Errichtungs- und Betriebs
GmbH
33,33%
Kraftwerk Nußdorf Errichtungs- und Betriebs
GmbH & Co KG
33,33%
Aspern Smart City Research GmbH
29,95%
Aspern Smart City Research GmbH & Co
KG
29,95%
PAMA-GOLS Windkraftanlagenbetriebs
GmbH
50%
PAMA-GOLS Windkraftanlagen-
betriebs GmbH & Co KG
50%
VID Energie Infrastruktur GmbH
50%
VID Energie Infrastruktur GmbH & Co KG
50%

[Table 8]
ENERGIEALLIANZ Austria GmbH
45%
Naturkraft Energievertriebsgesellschaft
m.b.H.
100%
SWITCH Energievertriebsgesellschaft
m.b.H.
100%
EXAA Abwicklungsstelle für
Energieprodukte AG
3,04%
WIEN ENERGIE Vertrieb GmbH & Co KG
100%
Vienna Energy Forta Naturala S.R.L.
100%
Vienna Energy Természeti Erö KFT
100%
VERBUND Hydro Power GmbH
2,8%
Smart Inspection GmbH
100%
Smartworks Innovation GmbH
100%
Smartworks Innovation GmbH & Co KG
50%
Easelink GmbH
0,906%
Ubiq GmbH
5,98%
Ionate Ltd.
3,6%
Riddle & Code Energy Solutions GmbH
50%
Wiener Wasserstoff GmbH
50%

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+P+-+Preisblatt_IT+Consulting.xlsx - Sheet: Tabelle1 ===
 |  |  |  | 
 | Rahmenvereinbarung für Beratungsleistungen im Bereich IT-Consulting
Anhang P - Preisblatt |  |  | 
 |  |  |  | 
 | Firmenwortlaut: |  |  | 
 | Kontaktperson: |  |  | 
 | Datum: |  |  | 
 |  |  |  | 
 | Geplantes Jahresvolumen | EUR 16.000.000,-- |  | 
 |  |  |  | 
 | Stufe der Berater | Geschätztes Jahresvolumen in % | Tagessatz inklusive Nebenkosten (Angebot) | 
 | Partner IT Consulting | 0.03 |  | 
 | Senior Manager IT Consulting | 0.05 |  | 
 | Manager IT Consulting | 0.12 |  | 
 | Senior IT Consultant | 0.25 |  | 
 | IT Consultant | 0.35 |  | 
 | Junior IT Consultant | 0.2 |  | 
 | Durchschnittlicher Angebotspreis (mengengewichtet, inklusive Nebenkosten) |  | BITTE FÜR ALLE ROLLEN BEFÜLLEN | 
 |  |  |  | 
 |  |  |  | 

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+T1+-+Teilnahmeantrag.docx ===
Vom Bewerber sind nur die vorgesehenen Felder auf Seite 2 auszufüllen!
Teilnahmeantrag
Als diesem Teilnahmeantrag angeschlossene Unterlagen sind alle Dateien zu verstehen, welche dem Auftraggeber/der ausschreibenden Stelle zu diesem Verfahren über das Vergabeportal der WSTW übermittelt wurden.

[Table 1]
Signatur:
Bei Abgabe des Teilnahmeantrags ist eine elektronische Signatur („E_SIGNATUR“) erforderlich!
Empfohlen: Handy-Signatur

[Table 2]
Ausschreibungsbezeichnung (Vorhaben und Erfüllungsort):
„Rahmenvereinbarung IT Consulting“, Wien

[Table 3]
Art der Leistung: | Kennwort:
Dienstleistung | WienIT 5310000762

[Table 4]
Auftraggeber: | Kontakt:
WienIT GmbH
Thomas-Klestil-Platz 13
A-1030 Wien | Über das Vergabeportal

[Table 5]
VERGABE:
Die gegenständliche Vergabe unterliegt den Bestimmungen der WIENER STADTWERKE sowie den in den Ausschreibungsunterlagen festgelegten weiteren Vertragsbestimmungen und dem Bundesvergabegesetz idgF.

Geltungsbereich Wiener Vergaberechtsschutzgesetz:
ja

ABGABE VON TEILNAHMEANTRÄGEN
ausschließlich in elektronischer Form

ART DES AUFTRAGES
Dienstleistungsauftrag | ABLAUF DER BEWERBUNGSFRIST:
(=Abgabetermin für Teilnahmeanträge)
19.08.2024 12:00 Uhr

ABGABEORT:
Elektronisch über das Beschaffungsportal der WSTW - www.vergabeportal.at

ART DES VERGABEVERFAHRENS:
Zweistufiges Vergabeverfahren mit vorheriger Bekanntmachung

[Table 6]
BEWERBER bzw. ermächtigter Vertreter der Bewerbergemeinschaft | BEWERBER bzw. ermächtigter Vertreter der Bewerbergemeinschaft
Unternehmensrechtlicher Firmenwortlaut od. Name und Geschäftssitz: | Für allfällige Rückfragen zum Teilnahmeantrag:

Sachbearbeiter:      

Telefon:      

Fax:      

E-Mail:

[Table 7]
Datum und rechtsgültige Unterschrift(en)

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+T2+-+Mitteilung_BG.docx ===
Vom Bewerber sind die hellgrau unterlegten Felder auszufüllen!
MITTEILUNG ÜBER DIE BILDUNG EINER
BEWERBERGEMEINSCHAFT
Die Anzahl der Mitglieder der Bewerbergemeinschaft ist mit 3 begrenzt.
Die Bewerbergemeinschaft setzt sich aus folgenden Unternehmern zusammen:
Jede Änderung in der Zusammensetzung der Bewerbergemeinschaft bedarf der schriftlichen Zustimmung des Auftraggebers.
Im Auftragsfall schuldet die Bewerbergemeinschaft als Arbeitsgemeinschaft dem Auftraggeber die solidarische Leistungserbringung.
Für alle wie immer gearteten Verpflichtungen aus dem Angebot haften sämtliche Mitglieder der Arbeitsgemeinschaft dem Auftraggeber zur ungeteilten Hand (§ 891 ABGB). Die Haftung zur ungeteilten Hand bleibt auch dann aufrecht, wenn die Mitglieder der Arbeitsgemeinschaft für eine vorzeitige Auszahlung von Rücklässen als Sicherstellung Garantie- bzw. Haftbriefe oder ähnliche Urkunden über Teilsummen der Rücklässe beibringen und diese vom Auftraggeber angenommen werden.
Die Mitglieder der Bewerbergemeinschaft und in weiterer Folge auch die Bieter- bzw. Arbeitsgemeinschaft ermächtigen ihr Mitglied
sie nach außen hin zu vertreten, namens aller Mitglieder wie immer geartete verbindliche Erklärungen abzugeben, Zahlungen vom Auftraggeber einzufordern und in Empfang zu nehmen sowie alle laufenden Verhandlungen im Zuge der Durchführung des Auftrages für die Arbeitsgemeinschaft zu führen, Aufträge vom Auftraggeber entgegenzunehmen und den gesamten Schriftverkehr abzuwickeln.

[Table 1]
Auftraggeber:
WienIT GmbH
Thomas-Klestil-Platz 13
A-1030 Wien
Ausschreibungsbezeichnung (Vorhaben und Erfüllungsort):
„Rahmenvereinbarung IT Consulting“, Wien
Kennwort:
WienIT 5310000762

[Table 2]
 | Unternehmensrechtlicher Firmenwortlaut 
und Standort | Befugnis | Leistungsteil
1) |  |  | 
2) |  |  | 
3) |  |  | 

[Table 3]


[Table 4]
Daten des ermächtigen Mitglieds der Bewerbergemeinschaft
Firmenname, Geschäftssitz:
Ansprechpartner:
Telefon / Fax:
E-Mail:

[Table 5]
Datum und rechtsgültige Unterschrift(en) oder elektronische qualifizierte Signatur
1)
2)
3)

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+T3+-+Bekanntgabe_SUB.docx ===
Vom Bewerber sind die hellgrau unterlegten Felder auszufüllen!
BEKANNTGABE VON SUBUNTERNEHMERN
Ich (Wir) benenne(n) folgende geeignete Subunternehmer für die Ausführung nachstehender Teilleistungen.
Ich (Wir) erkläre(n) hiermit, dass der (die) angegebene(n) Subunternehmer die für den (die) ihm (ihr) konkret zufallenden Teil(e) der Leistung erforderliche Eignung besitzt (besitzen) und die festgelegten Nachweise auf Aufforderung unverzüglich beibringen kann (können).
Es sind Erklärungen der angeführten Subunternehmer, dass sie im Auftragsfall zur Verfügung stehen werden (Formular ERKLÄRUNG SUBUNTERNEHMER), beizulegen.
Anmerkung:
Für den Fall, dass ich (wir) mich (uns) zum Nachweis der Eignungsanforderungen (Befugnis oder  Leistungsfähigkeit) oder zum Nachweis der hinsichtlich der Auswahlkriterien festgelegten Anforderungen für das Vergabeverfahren auf Subunternehmer stütze(n), ist dies in der 3. Spalte (A=Befugnis, B= technische Leistungsfähigkeit, C= finanzielle und wirtschaftlichen Leistungsfähigkeit, D= Auswahl) entsprechend angekreuzt.
Die vom AG dafür festgelegten Nachweise sind auf Verlangen des Auftraggebers unverzüglich vorzulegen. Erklärungen der angeführten Subunternehmer, dass die vorhandenen Mittel im Falle der Ausführung des Auftrages tatsächlich zur Verfügung gestellt werden, sind beizulegen (Formular ERKLÄRUNG SUBUNTERNEHMER).
Die Genehmigung allenfalls nachträglich nominierter Subunternehmer bedarf der ausdrücklichen schriftlichen Zustimmung des Auftraggebers vor der Leistungserbringung.
Verpflichtungserklärung:
Ich (Wir) verpflichte(n) mich (uns), dass jeder Wechsel eines im Teilnahmeantrag bekannt gegebenen Subunternehmers und jeder Einsatz eines neuen, nicht in diesem Teilnahmeantrag bekannt gegebenen Subunternehmers dem Auftraggeber unter Anschluss aller zur Prüfung der Eignung des (der) betreffenden Subunternehmer(s) mitgeteilt wird und dass dessen/deren Einsatz bei der Ausführung des Auftrages nur nach vorheriger schriftlicher Zustimmung durch den Auftraggeber erfolgen wird.
Ich (Wir) verpflichte(n) mich (uns), meine (unsere) Subunternehmer vertraglich zu verpflichten, jeden Wechsel eines im Teilnahmeantrag bekannt gegebenen Subunternehmers und jeden Einsatz eines neuen, nicht in diesem Teilnahmeantrag bekannt gegebenen Subunternehmers dem Bewerber mitzuteilen, um die vorherige Einholung der Zustimmung des Auftraggebers zu dessen (deren) Einsatz bei der Ausführung des Auftrages durch den Bewerber zu ermöglichen.

[Table 1]
Auftraggeber:
WienIT GmbH
Thomas-Klestil-Platz 13
A-1030 Wien
Ausschreibungsbezeichnung (Vorhaben und Erfüllungsort):
„Rahmenvereinbarung IT Consulting“, Wien
Kennwort:
WienIT 5310000762

[Table 2]
Leistungsteil | Unternehmensrechtlicher Firmenwortlaut und Standort 
der Subunternehmer | Anforderungen für
das Vergabeverfahren
   A       B       C       D
 |  | 
 |  | 
 |  | 
 |  | 
 |  | 
 |  | 

[Table 3]
Rechtsgültige Unterschrift(en) oder elektronische qualifizierte Signatur
Unternehmensrechtlicher Firmenwortlaut, Standort
     







     
Datum und rechtsgültige Unterschrift(en) oder elektronische qualifizierte Signatur

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+T4+-+Erklaerung_SUB.docx ===
Vom Bewerber sind die hellgrau unterlegten Felder auszufüllen!
ERKLÄRUNG DES SUBUNTERNEHMERS
Ich erkläre, im Vergabeverfahren und im Fall einer Auftragserteilung für o.a. Leistungen als Subunternehmer
dem Unternehmen
für die nachstehen angeführten Teilleistungen
zur Verfügung zu stehen,
dem Unternehmen im erforderlichen Ausmaß die Mittel und/oder Kapazitäten für die Erfüllung des Auftrages zur Verfügung zu stellen, und
die für den oben angeführten Leistungsteil erforderliche Eignung zu besitzen;
Hinweis:
Der Subunternehmer hat seine Eignung nach Maßgabe der Festlegungen in der Ausschreibung nachzuweisen.
(nur anzukreuzen, wenn sich der Bewerber zum Nachweis der Eignung und/oder von Auswahlanforderungen auf die Kapazitäten des Subunternehmers beruft) darüber hinaus
dem Unternehmen zum Nachweis der Eignungs- und Auswahlanforderungen im Vergabeverfahren meine
konkret folgende Kapazitäten:
im erforderlichen Ausmaß für die Erfüllung des Auftrages verbindlich zur Verfügung zu stellen,
(zusätzlich, wenn sich der Unternehmer in Bezug auf Nachweise betreffend Ausbildung und Bescheinigung über die berufliche Befähigung des Unternehmers bzw. der Führungskräfte des Unternehmers oder den Nachweis über die einschlägige berufliche Erfahrung vom Unternehmen auf die Kapazitäten des Subunternehmers stützt) und die Leistung, für die diese Kapazitäten benötigt werden, tatsächlich zu erbringen;
Ich nehme zur Kenntnis, dass ich als beantragter Subunternehmer die Kriterien der erforderlichen Bewerberprüfung beim Auftraggeber erfüllen muss.
Ich erkläre, dass gegen mich bzw. gegen physische Personen, die Mitglied im Leitungs- oder Aufsichtsorgan meines Unternehmens sind sowie gegen mein Unternehmen selbst kein rechtskräftiges Urteil bzw. keine behördliche Entscheidung ergangen ist, welche meine (unsere) berufliche Zuverlässigkeit oder die meines Unternehmens in Frage stellt; Solche behördlichen Entscheidungen, die zum Ausschluss führen können, sind
ein (nicht rechtskräftiges) Strafurteil und/oder sonstiges Urteil/Bußgelderkenntnis des Kartellgerichts oder der Europäischen Kommission,
ein Anfallsbericht, ein Anlassbericht, ein Zwischenbericht oder ein Abschlussbericht der Kriminalpolizei an die Staatsanwaltschaft,
eine Anordnung der Hausdurchsuchung und/oder der Festnahme durch die Staatsanwaltschaft, das Kartellgericht oder die Europäische Kommission.
ein Anlassbericht des Bundesamtes für Korruptionsprävention und Korruptionsbekämpfung,
ein Antrag der Bundeswettbewerbsbehörde, des Bundeskartellanwalts oder der Europäischen Kommission auf Verhängung einer Abstellungsverfügung und/oder einer Geldbuße
eine Anklage (Anklageschrift/Strafantrag) der Staatsanwaltschaft oder ein Antrag der Staatsanwaltschaft auf Verhängung einer Verbandsgeldbuße;
Andernfalls erkläre ich, sofern ein rechtskräftiges Urteil oder eine behördliche Entscheidung gemäß obigen Ausführungen gegen mich bzw. gegen physische Personen, die Mitglied im Leitungs- oder Aufsichtsorgan meines Unternehmens sind, ergangen ist, dass ich konkrete und ausreichende Maßnahmen getroffen habe, die geeignet sind, das nochmalige Begehen der betreffenden strafbaren Handlungen bzw. Verfehlungen zu verhindern, sodass meine Zuverlässigkeit gegeben ist.
In diesem Fall sind allfällige Urteile oder behördliche Entscheidungen gemäß obigen Ausführungen in einer gesonderten Beilage offen zu legen und es sind die konkret getroffenen Maßnahmen technischer, organisatorischer oder personeller Art in einer Form darzustellen, die eine Beurteilung ermöglicht, ob diese Maßnahmen ausreichend sind. Diese Beilage ist gemeinsam mit dem Angebot abzugeben.
Ich verpflichte mich, dem Unternehmen jeden Wechsel eines von mir beigezogenen Subunternehmers und jeden Einsatz eines neuen, nicht von mir bekannt gegebenen Subunternehmers mitzuteilen und dass dessen/deren Einsatz bei der Ausführung des Auftrages nur nach vorheriger schriftlicher Zustimmung durch den Auftraggeber erfolgen wird.
Ich verpflichte mich, meine Subunternehmer vertraglich zu verpflichten, jeden Wechsel eines bekannt gegebenen Subunternehmers und jeden Einsatz eines neuen, nicht bekannt gegebenen Subunternehmers dem Unternehmen mitzuteilen, um die vorherige Einholung der schriftlichen Zustimmung des Auftraggebers zu dessen/deren Einsatz bei der Ausführung des Auftrages zu ermöglichen.
Ich stimme ausdrücklich
der Weitergabe aller für die Angebotsprüfung und für die Beurteilung meiner Befugnis, Leistungsfähigkeit und Zuverlässigkeit relevanten Daten durch den Auftraggeber an dessen konzernverbundenen Unternehmen im Konzern der Wiener Stadtwerke bzw. an vom Auftraggeber bzw. von konzernverbundenen Unternehmen im Konzern der Wiener Stadtwerke dazu beauftragte Dritte für Zwecke der Angebots- und Eignungsprüfung in Vergabeverfahren,
der Einholung solcher Daten durch den Auftraggeber bei dessen konzernverbundenen Unternehmen zu und entbinde diese von einer allfälligen solche Daten betreffenden Geheimhaltungsverpflichtung,
der automationsunterstützten Verwaltung und Weiterverwendung sämtlicher für die Beurteilung meiner Befugnis, Leistungsfähigkeit und Zuverlässigkeit relevanten Daten durch den Auftraggeber in weiteren Vergabeverfahren des Auftraggebers,

zu.

[Table 1]
Auftraggeber:
WienIT GmbH
Thomas-Klestil-Platz 13
A-1030 Wien
Ausschreibungsbezeichnung (Vorhaben und Erfüllungsort):
„Rahmenvereinbarung IT Consulting“, Wien
Kennwort:
WienIT 5310000762

[Table 2]


[Table 3]


[Table 4]
Befugnis (Kategorie A der BEKANNTGABE SUB)
  technische Leistungsfähigkeit (Kategorie B der BEKANNTGABE SUB)
  finanzielle und wirtschaftliche Leistungsfähigkeit (Kategorie C der BEKANNTGABE SUB)
  Kapazitäten und/oder Mittel zum Nachweis der betreffend die Auswahlkriterien festgelegten Anforderungen (Kategorie D der BEKANNTGABE SUB)

[Table 5]


[Table 6]
Unternehmensrechtlicher Firmenwortlaut, Standort
     










     
Datum und rechtsgültige Unterschrift(en) oder elektronische qualifizierte Signatur

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+T5+-+Erklaerung_Sanktionen.docx ===
Vom Bewerber sind die hellgrau unterlegten Felder auszufüllen!
EIGENERKLÄRUNG ZUR SANKTIONEN-VO (EU)
Nur bei Vergabeverfahren gemäß BVergG 2018 im Oberschwellenbereich:

[Table 1]
Auftraggeber:
WienIT GmbH
Thomas-Klestil-Platz 13
A-1030 Wien
Ausschreibungsbezeichnung (Vorhaben und Erfüllungsort):
„Rahmenvereinbarung IT Consulting“, Wien
Kennwort:
WienIT 5310000762

[Table 2]
Gemäß Artikel 5k Absatz 1 der Verordnung (EU) Nr. 833/2014 in der Fassung des Art 1 Z 23 der Verordnung (EU) 2022/576 des Rates vom 8. April 2022 über restriktive Maßnahmen angesichts der Handlungen Russlands, die die Lage in der Ukraine destabilisieren ist es verboten, öffentliche Aufträge oder Konzessionen, die in den Anwendungsbereich der Richtlinien über die öffentliche Auftragsvergabe fallen, an natürliche oder juristische Personen zu vergeben oder Verträge mit solchen weiter zu erfüllen, sofern es sich
a) um russische Staatsangehörige oder in Russland niedergelassene natürliche oder juristische Personen handelt;
b) um juristische Personen handelt, deren Anteile zu über 50% unmittelbar oder mittelbar von einer unter lit a genannten Person gehalten werden oder
c) um natürliche oder juristische Personen handelt, die im Namen oder auf Anweisung der unter den lit a und b genannten Organisationen handeln.
Es sind davon auch Subunternehmer, Lieferanten oder Unternehmen, deren Kapazitäten in Anspruch genommen werden umfasst, auf die mehr als 10% des Auftragswerts entfällt.

[Table 3]
EIGENERKLÄRUNG
 zu Artikel 5k Absatz 1 der Verordnung (EU) Nr. 833/2014
Ich erkläre (Wir erklären), dass 
mein (unser) Unternehmen sowie meine (unsere) Subunternehmer, Dritte, Lieferanten etc. keinen Bezug zu Russland im Sinne der oben genannten EU-Verordnung aufweisen, 
dies auch für die gesamte Vertragslaufzeit sichergestellt wird,
Aktualisierungen dieser Regelungen jederzeit eingehalten werden und den Auftraggeber über neue Sachverhalte, die den Inhalten dieser von uns abgegebenen Erklärung potenziell widersprechen, unverzüglich und aktiv informiere sowie auf Aufforderung alle für eine Beurteilung unseres Unternehmens oder unserer Lieferanten nach der SanktionenVO notwendigen zusätzlichen Auskünfte unverzüglich binnen einer angemessenen Frist beibringen werde.	
Ich (Wir) nehme(n) zur Kenntnis, dass eine Verwirklichung eines oben angeführten Sachverhalts, unrichtige Erklärungen, Verstöße gegen die Informationspflicht, das nicht rechtzeitige Beibringen zusätzlicher Auskünfte für eine Beurteilung nach der SanktionenVO bzw. überhaupt das Fehlen dieser Eigenerklärung zum Ausschluss aus dem Vergabeverfahren führen kann.
Ich (wir) nehme(n) weiters zur Kenntnis, dass eine nachträgliche Verwirklichung eines oben angeführten Sachverhalts, unrichtige Erklärungen, Verstöße gegen die Informationspflicht oder das nicht rechtzeitige Beibringen zusätzlicher Auskünfte für eine Beurteilung nach der SanktionenVO nach einer Zuschlagserteilung, Abschluss einer Rahmenvereinbarung und/oder Abschluss eines Leistungsvertrages für den Auftraggeber einen wichtigen Grund zur sofortigen Vertragsbeendigung darstellt und Schadenersatz fordern wird.

[Table 4]
Unternehmensrechtlicher Firmenwortlaut, Standort
     







     
Datum und rechtsgültige Unterschrift(en) des Bewerbers/Bieters bzw. der Mitglieder einer Bewerber-/Bietergemeinschaft

=== Extracted from C:\Users\Suad\Documents\Projekte\Tendr\data\raw\2024-07 WienIT GmbH - RV IT-Consulting\Anhang+ZB+-+Zuschlagskriterien+und+Bewertungsschema_V.1.0.pdf ===

=== Page 1 ===

[Text]
 
 
WienIT GmbH │ Thomas-Klestil-Platz 13 │ 1030 Wien │ t: +43 5 90405 0 │wienit.at 
FN 255649 f │ HG Wien │ DVR: 2109667 │ UID-Nr.: ATU61296118  
UniCredit Bank Austria AG │ IBAN: AT64 1200 0514 2844 2601 │ BIC: BKAUATWW 
 
AUSSCHREIBUNG EINER 
  
RAHMENVEREINBARUNG 
IT CONSULTING 
 
  
ANHANG ZB – ZUSCHLAGSKRITERIEN 
UND 
BEWERTUNGSSCHEMA 
 
 
 
  
(1. STUFE) 
 
 
 
 
 
 
 
 
 
 
 
 
Beilage zu „Einladung zur Abgabe eines Teilnahmeantrages“ 
Kennwort: WienIT 5310000762 
Datum: 19.07.2024 
Version: 1.0 
 


=== Page 2 ===

[Text]
 
Anhang ZB - Zuschlagskriterien und Bewertungsschema 
IT Consulting 
 
 
 
INHALT 
1 
ZUSCHLAGSKRITERIEN UND BEWERTUNGSSCHEMA 
3 
1.1 
VORBEMERKUNGEN 
3 
1.2 
ZUSCHLAGSPRINZIP 
3 
1.3 
ZUSCHLAGSKRITERIEN 
4 
1.4 
BEWERTUNG DES ZUSCHLAGSKRITERIUMS „PREIS“ 
4 
1.5 
BEWERTUNG DES ZUSCHLAGSKRITERIUMS „QUALITÄT“ 
5 
1.5.1 
PROJEKTREFERENZEN - TEIL 2 (2. STUFE) 
5 
1.5.2 
ANGEBOTSPRÄSENTATION 
6 
1.6 
ZUSCHLAGSKRITERIUM "MITARBEITER 50+" 
8 


=== Page 3 ===

[Text]
 
Anhang ZB - Zuschlagskriterien und Bewertungsschema 
IT Consulting 
WienIT GmbH 
Seite 3 von 8 
1 ZUSCHLAGSKRITERIEN UND BEWERTUNGSSCHEMA 
 
1.1 
VORBEMERKUNGEN 
 
Gleichberechtigung ist uns sehr wichtig, aber auch die Lesbarkeit unserer Ausschreibungsunterlagen. 
Aus Gründen der besseren Lesbarkeit verzichten wir daher bei personenbezogenen Bezeichnungen 
auf die gleichzeitige Verwendung männlicher und weiblicher Sprachformen und verwenden 
durchgehend die männliche Form. Im Sinne des Gleichbehandlungsgesetzes sind diese 
Bezeichnungen nicht geschlechtsspezifisch zu verstehen, sondern schließen alle Geschlechter 
gleichermaßen ein. 
 
Um zur 2. Stufe des Verfahrens zugelassen zu werden, muss der Bieter zwingend bereits in der 1. 
Stufe (Teilnahmeantrag) alle im Anhang E1 – Eignungskriterien, Formblatt E3 – Technische 
Leistungsfähigkeit sowie im Anhang L1 - Leistungsverzeichnis  angeführten, jedenfalls zu erfüllenden, 
Anforderungen erfüllt haben. Werden die geforderten Kriterien in der 2. Stufe jedoch nicht länger 
erfüllt, führt dies zum Ausscheiden aus dem aktuellen Verfahren. 
1.2 
ZUSCHLAGSPRINZIP 
 
Die Rahmenvereinbarung wird mit 3 (drei) Unternehmen bzw. Rahmenvereinbarungspartnern abge-
schlossen. Die Vergabe erfolgt nach dem Bestbieterprinzip. Die drei Bestbieter der gegenständlichen 
Ausschreibung werden über die angebotenen Preise sowie über die Qualität der angebotenen 
Leistung ermittelt (Zuschlagskriterien). 
 
Der AG behält sich vor, die Zuschlagskriterien sowie die Modalitäten der Bewertung im Rahmen der 
Angebotsunterlage (2. Stufe) zu konkretisieren. 
 
Sollte es zu einem Punktegleichstand von Bietern kommen (es wird auf die 2. Kommastelle 
kaufmännisch gerundet), wird das Angebot mit den höheren Preispunkten besser gereiht. Sollten 
auch die Preispunkte gleich sein, wird das Angebot jenes Bieters besser gereiht, das im 
Zuschlagskriterium „Qualität“ höher bewertet ist. Sollte auch nach dieser Maßgabe noch ein 
Gleichstand bestehen, wird das Angebot jenes Bieters besser gereiht, das im Kriterium 
„Angebotspräsentation“ höher bewertet wurde. Besteht danach immer noch ein Gleichstand zwischen 
